model,arm,micro_f1_mean,micro_f1_sd,precision_mean,precision_sd,recall_mean,recall_sd,exact_best_match_rate_mean,exact_best_match_rate_sd,fixed_recall_mean,fixed_recall_sd,fixed_precision_mean,fixed_precision_sd,fixed_f1_mean,fixed_f1_sd
google/gemini-3.1-flash-lite,baseline,0.7618958023734009,0.005502298090589251,0.7071560297799022,0.005245957927816084,0.825827158466876,0.006276795580385808,0.6535911602209945,0.005018205006791434,0.825827158466876,0.006276795580385808,0.7071560297799022,0.005245957927816084,0.7618958023734009,0.005502298090589251
google/gemini-3.1-flash-lite,additive_verbs,0.7298991722497548,0.00564331199548492,0.6537556065060625,0.00561397078707686,0.8261280327772499,0.006243923223109435,0.6209944751381216,0.005313642005986563,0.825827158466876,0.006276795580385808,0.6523888309098232,0.005282796502062952,0.7289306577749259,0.0055368398853660366
google/gemini-3.1-flash-lite,all_verbs,0.7208790847905622,0.006220288882592772,0.6696208078948916,0.0060397204393846035,0.7806439753047351,0.006993820937867784,0.6226519337016575,0.005018205006791416,0.7773818710241421,0.007006112779067775,0.6656701005544735,0.005572396855928723,0.7171996171819863,0.0060464371538131445
google/gemini-3.1-flash-lite,context_pos,0.7399414777349059,0.005670542659133094,0.686414898706285,0.005663382097503157,0.8025310156624014,0.006305410769120201,0.6359116022099447,0.004539137216893664,0.7998753937152462,0.006324068117484169,0.6849333752072705,0.005270521855984792,0.7379530040507752,0.0055514919868787805
google/gemini-3.1-flash-lite,additive_pos,0.7454448578702766,0.005436796585577152,0.679123258157326,0.005148311754263167,0.8261280327772499,0.006243923223109435,0.6342541436464089,0.005018205006791434,0.825827158466876,0.006276795580385808,0.677704781557539,0.004984181909292674,0.7444680381108589,0.005413548166859953
google/gemini-3.5-flash,baseline,0.733972014177405,0.004536049961563912,0.6604842829283961,0.004843018512032311,0.8258699107791492,0.004800806621538527,0.6088397790055249,0.005018205006791434,0.8258699107791492,0.004800806621538527,0.6604842829283961,0.004843018512032311,0.733972014177405,0.004536049961563912
google/gemini-3.5-flash,additive_verbs,0.6982942909721659,0.004038748782897869,0.6048692014320066,0.004445007183352744,0.8258699107791492,0.004800806621538527,0.5779005524861879,0.003601769284642355,0.8258699107791492,0.004800806621538527,0.6048692014320066,0.004445007183352744,0.6982942909721659,0.004038748782897869
google/gemini-3.5-flash,all_verbs,0.6973641301011195,0.0035952702435336032,0.6259990031719334,0.0038249734200225373,0.7871039599928326,0.004185283102883488,0.5779005524861879,0.003601769284642355,0.7827528967232426,0.004162133805522017,0.6259990031719334,0.0038249734200225373,0.6956511236323081,0.003587062788206349
google/gemini-3.5-flash,context_pos,0.7160797527468435,0.004547257414119291,0.6428006238923314,0.004812228225427235,0.8082259722511577,0.004831004555631238,0.5895027624309392,0.005018205006791434,0.8037581523470239,0.004805262296482324,0.6428006238923314,0.004812228225427235,0.7143207706199406,0.004536102228175026
google/gemini-3.5-flash,additive_pos,0.7126156661828131,0.004023978491768215,0.6266863989305205,0.0043658149571519506,0.8258699107791492,0.004800806621538527,0.5895027624309392,0.005018205006791434,0.8258699107791492,0.004800806621538527,0.6266863989305205,0.0043658149571519506,0.7126156661828131,0.004023978491768215
google/gemma-3-4b-it,baseline,0.31155659590788504,0.0028417359913138103,0.21923166839647953,0.0022893489458660904,0.5382211037722757,0.0031737064599835323,0.18028067088495553,0.003365006043884612,0.5382211037722757,0.0031737064599835323,0.21923166839647953,0.0022893489458660904,0.31155659590788504,0.0028417359913138103
google/gemma-3-4b-it,additive_verbs,0.3405029977158281,0.003458235391482903,0.22359876368777648,0.0025231146854712773,0.7135990907967379,0.004710372723568964,0.15887374012372338,0.002538752594818272,0.6868831695269881,0.0046244872558939484,0.20901193872354815,0.002223450769964856,0.3204983020702153,0.003111284433933988
google/gemma-3-4b-it,all_verbs,0.3928134461657942,0.004329693370980911,0.2783037676131516,0.0034969712317502646,0.6674427965838066,0.004902614665320223,0.22929332485741594,0.0029526950240523426,0.6322705968875806,0.004776096374306861,0.2575417753615745,0.0030869633134442357,0.36599969883561717,0.003911864425675955
google/gemma-3-4b-it,context_pos,0.40712292709912984,0.004333392863056932,0.288190168260735,0.003512012277059939,0.6932085504084017,0.004824520129092296,0.23774405590529146,0.00294395293694661,0.656542851393984,0.004707671598079477,0.2674281760091579,0.0031010120773712463,0.3800496904288279,0.003913976795036299
google/gemma-3-4b-it,additive_pos,0.349734188421575,0.0032487725890239646,0.23049474482888777,0.0023507704528993936,0.7245732584606109,0.0046861051417218,0.17014138152089073,0.0025416081036848284,0.6990192967801898,0.0045919727678137056,0.2165822031980107,0.0020643916912399304,0.33070043047907016,0.00291344239207742
openai/gpt-5.4,baseline,0.7405257997673257,0.0029320850413373325,0.6880321668477983,0.0042421707558840714,0.8017444610139833,0.00686396663700423,0.6613259668508287,0.00886563897010011,0.8017444610139833,0.00686396663700423,0.6880321668477983,0.0042421707558840714,0.7405257997673257,0.0029320850413373325
openai/gpt-5.4,additive_verbs,0.714747665344821,0.004409552757072419,0.6447830432132744,0.007801159366883029,0.8018544042099988,0.007016910694307156,0.6298342541436464,0.009161946934683418,0.8017444610139833,0.00686396663700423,0.6443253773093842,0.007995117825346147,0.7144199097214989,0.004274285167585736
openai/gpt-5.4,all_verbs,0.704983061917233,0.006126901738227058,0.6543235112871342,0.007902248083085022,0.76420294725604,0.007195121164026364,0.6303867403314917,0.009844491536577609,0.7595493149795312,0.007527043004096561,0.651843069348172,0.007879494323819791,0.7015649540551635,0.006476312822504275
openai/gpt-5.4,context_pos,0.716435177366039,0.004651705830378245,0.6642390131432622,0.006860001157294084,0.7775860412054465,0.005530100569477093,0.6386740331491713,0.009448967611318835,0.7734189026490902,0.005531331425248415,0.66375001558825,0.007090067348919219,0.7143781372076625,0.004868955072610815
