model,repeat,arm,tp,fp,fn,evaluated,nonempty_reference,reference_pair_count,recall,precision,f1
google/gemini-3.5-flash,1,additive_verbs,296,196,66,362,258,362,0.8176795580110497,0.6016260162601627,0.6932084309133489
google/gemini-3.5-flash,1,all_verbs,281,171,81,362,258,362,0.7762430939226519,0.6216814159292036,0.6904176904176904
google/gemini-3.5-flash,1,context_pos,288,164,74,362,258,362,0.7955801104972375,0.6371681415929203,0.7076167076167076
google/gemini-3.5-flash,1,additive_pos,296,179,66,362,258,362,0.8176795580110497,0.6231578947368421,0.7072879330943848
google/gemini-3.5-flash,2,baseline,298,153,63,362,257,361,0.8254847645429363,0.6607538802660754,0.7339901477832512
google/gemini-3.5-flash,2,additive_verbs,298,194,63,362,257,361,0.8254847645429363,0.6056910569105691,0.6987104337631888
google/gemini-3.5-flash,2,all_verbs,282,169,79,362,257,361,0.7811634349030471,0.6252771618625277,0.6945812807881774
google/gemini-3.5-flash,2,context_pos,290,161,71,362,257,361,0.8033240997229917,0.6430155210643016,0.7142857142857143
google/gemini-3.5-flash,2,additive_pos,298,177,63,362,257,361,0.8254847645429363,0.6273684210526316,0.7129186602870813
google/gemini-3.5-flash,3,baseline,300,153,62,362,258,362,0.8287292817679558,0.6622516556291391,0.7361963190184049
google/gemini-3.5-flash,3,additive_verbs,300,196,62,362,258,362,0.8287292817679558,0.6048387096774194,0.6993006993006993
google/gemini-3.5-flash,3,all_verbs,284,169,78,362,258,362,0.7845303867403315,0.6269315673289183,0.6969325153374233
google/gemini-3.5-flash,3,context_pos,292,161,70,362,258,362,0.8066298342541437,0.6445916114790287,0.7165644171779141
google/gemini-3.5-flash,3,additive_pos,300,179,62,362,258,362,0.8287292817679558,0.6263048016701461,0.713436385255648
google/gemini-3.5-flash,4,baseline,299,156,62,362,257,361,0.8282548476454293,0.6571428571428571,0.7328431372549019
google/gemini-3.5-flash,4,additive_verbs,299,199,62,362,257,361,0.8282548476454293,0.6004016064257028,0.6961583236321304
google/gemini-3.5-flash,4,all_verbs,284,171,77,362,257,361,0.7867036011080333,0.6241758241758242,0.696078431372549
google/gemini-3.5-flash,4,context_pos,291,164,70,362,257,361,0.8060941828254847,0.6395604395604395,0.7132352941176471
google/gemini-3.5-flash,4,additive_pos,299,181,62,362,257,361,0.8282548476454293,0.6229166666666667,0.7110582639714625
google/gemini-3.5-flash,5,baseline,301,150,62,362,259,363,0.8292011019283747,0.6674057649667405,0.7395577395577395
google/gemini-3.5-flash,5,additive_verbs,301,191,62,362,259,363,0.8292011019283747,0.6117886178861789,0.704093567251462
google/gemini-3.5-flash,5,all_verbs,285,166,78,362,259,363,0.7851239669421488,0.6319290465631929,0.7002457002457002
google/gemini-3.5-flash,5,context_pos,293,158,70,362,259,363,0.8071625344352618,0.6496674057649667,0.7199017199017199
google/gemini-3.5-flash,5,additive_pos,301,174,62,362,259,363,0.8292011019283747,0.6336842105263157,0.7183770883054893
google/gemma-3-4b-it,1,baseline,176,635,153,354,242,329,0.5349544072948328,0.21701602959309493,0.3087719298245614
google/gemma-3-4b-it,1,additive_verbs,224,861,105,354,242,329,0.6808510638297872,0.2064516129032258,0.31683168316831684
google/gemma-3-4b-it,1,all_verbs,206,605,123,354,242,329,0.6261398176291794,0.25400739827373614,0.36140350877192984
google/gemma-3-4b-it,1,context_pos,214,597,115,354,242,329,0.6504559270516718,0.2638717632552404,0.37543859649122807
google/gemma-3-4b-it,1,additive_pos,228,836,101,354,242,329,0.6930091185410334,0.21428571428571427,0.3273510409188801
google/gemma-3-4b-it,2,baseline,178,627,151,355,242,329,0.541033434650456,0.22111801242236026,0.31393298059964725
google/gemma-3-4b-it,2,additive_verbs,227,851,102,355,242,329,0.6899696048632219,0.21057513914656772,0.3226723525230988
google/gemma-3-4b-it,2,all_verbs,209,596,120,355,242,329,0.6352583586626139,0.2596273291925466,0.36860670194003525
google/gemma-3-4b-it,2,context_pos,217,588,112,355,242,329,0.6595744680851063,0.26956521739130435,0.38271604938271603
google/gemma-3-4b-it,2,additive_pos,231,828,98,355,242,329,0.7021276595744681,0.21813031161473087,0.33285302593659943
google/gemma-3-4b-it,3,baseline,176,632,152,355,241,328,0.5365853658536586,0.21782178217821782,0.30985915492957744
google/gemma-3-4b-it,3,additive_verbs,225,857,103,355,241,328,0.6859756097560976,0.20794824399260628,0.3191489361702128
google/gemma-3-4b-it,3,all_verbs,207,601,121,355,241,328,0.6310975609756098,0.2561881188118812,0.3644366197183099
google/gemma-3-4b-it,3,context_pos,215,593,113,355,241,328,0.6554878048780488,0.2660891089108911,0.3785211267605634
google/gemma-3-4b-it,3,additive_pos,229,833,99,355,241,328,0.698170731707317,0.21563088512241055,0.3294964028776978
google/gemma-3-4b-it,4,baseline,177,635,153,355,242,330,0.5363636363636364,0.21798029556650247,0.30998248686514884
google/gemma-3-4b-it,4,additive_verbs,226,860,104,355,242,330,0.6848484848484848,0.20810313075506445,0.3192090395480226
google/gemma-3-4b-it,4,all_verbs,208,604,122,355,242,330,0.6303030303030303,0.2561576354679803,0.36427320490367776
google/gemma-3-4b-it,4,context_pos,216,596,114,355,242,330,0.6545454545454545,0.2660098522167488,0.37828371278458844
google/gemma-3-4b-it,4,additive_pos,230,837,100,355,242,330,0.696969696969697,0.2155576382380506,0.329277022190408
google/gemma-3-4b-it,5,baseline,180,630,152,356,244,332,0.5421686746987951,0.2222222222222222,0.31523642732049034
google/gemma-3-4b-it,5,additive_verbs,230,855,102,356,244,332,0.6927710843373494,0.2119815668202765,0.32462949894142556
