model,repeat,arm,scoring,micro_f1,exact_match,fixed_reference_recall,fixed_tp,fixed_fp,fixed_fn,fixed_evaluated
anthropic/claude-sonnet-4.5,3,all_verbs,unique_position,0.5710526315789474,0.5718232044198895,0.5797101449275363,200,220,145,362
anthropic/claude-sonnet-4.5,3,all_verbs,set,0.7094240837696335,0.5994475138121547,0.782608695652174,270,150,75,362
anthropic/claude-sonnet-4.5,3,context_pos,unique_position,0.5894736842105263,0.5883977900552486,0.6,207,213,138,362
anthropic/claude-sonnet-4.5,3,context_pos,set,0.7303664921465969,0.6187845303867403,0.8057971014492754,278,142,67,362
anthropic/claude-sonnet-4.5,3,additive_pos,unique_position,0.5928753180661578,0.585635359116022,0.6231884057971014,215,230,130,362
anthropic/claude-sonnet-4.5,3,additive_pos,set,0.7341772151898734,0.6160220994475138,0.8405797101449275,290,155,55,362
anthropic/claude-sonnet-4.5,4,baseline,unique_position,0.6133682830930537,0.6049723756906077,0.6213872832369942,215,207,131,362
anthropic/claude-sonnet-4.5,4,baseline,set,0.7604166666666666,0.6408839779005525,0.8439306358381503,292,130,54,362
anthropic/claude-sonnet-4.5,4,additive_verbs,unique_position,0.5842696629213483,0.574585635359116,0.6213872832369942,215,245,131,362
anthropic/claude-sonnet-4.5,4,additive_verbs,set,0.7245657568238213,0.6022099447513812,0.8439306358381503,292,168,54,362
anthropic/claude-sonnet-4.5,4,all_verbs,unique_position,0.5721784776902887,0.574585635359116,0.5780346820809249,200,222,146,362
anthropic/claude-sonnet-4.5,4,all_verbs,set,0.7144719687092569,0.6022099447513812,0.7890173410404624,273,149,73,362
anthropic/claude-sonnet-4.5,4,context_pos,unique_position,0.5905511811023622,0.5911602209944752,0.5982658959537572,207,215,139,362
anthropic/claude-sonnet-4.5,4,context_pos,set,0.7353324641460235,0.6215469613259669,0.8121387283236994,281,141,65,362
anthropic/claude-sonnet-4.5,4,additive_pos,unique_position,0.5946632782719187,0.5883977900552486,0.6213872832369942,215,231,131,362
anthropic/claude-sonnet-4.5,4,additive_pos,set,0.73989898989899,0.6187845303867403,0.846820809248555,293,153,53,362
anthropic/claude-sonnet-4.5,5,baseline,unique_position,0.6089238845144357,0.6022099447513812,0.6231884057971014,215,206,130,362
anthropic/claude-sonnet-4.5,5,baseline,set,0.7597911227154047,0.638121546961326,0.8434782608695652,291,130,54,362
anthropic/claude-sonnet-4.5,5,additive_verbs,unique_position,0.58,0.5718232044198895,0.6231884057971014,215,244,130,362
anthropic/claude-sonnet-4.5,5,additive_verbs,set,0.7238805970149254,0.5994475138121547,0.8434782608695652,291,168,54,362
anthropic/claude-sonnet-4.5,5,all_verbs,unique_position,0.5676741130091985,0.5718232044198895,0.5797101449275363,200,221,145,362
anthropic/claude-sonnet-4.5,5,all_verbs,set,0.7137254901960784,0.5994475138121547,0.7884057971014493,272,149,73,362
anthropic/claude-sonnet-4.5,5,context_pos,unique_position,0.5860709592641261,0.5883977900552486,0.6,207,214,138,362
anthropic/claude-sonnet-4.5,5,context_pos,set,0.734640522875817,0.6187845303867403,0.8115942028985508,280,141,65,362
anthropic/claude-sonnet-4.5,5,additive_pos,unique_position,0.5895806861499364,0.585635359116022,0.6231884057971014,215,231,130,362
anthropic/claude-sonnet-4.5,5,additive_pos,set,0.7383059418457648,0.6160220994475138,0.8463768115942029,292,154,53,362
google/gemini-3.1-flash-lite,1,baseline,unique_position,0.6068027210884354,0.5994475138121547,0.6080691642651297,211,193,136,362
google/gemini-3.1-flash-lite,1,baseline,set,0.7563249001331558,0.6464088397790055,0.8184438040345822,284,120,63,362
google/gemini-3.1-flash-lite,1,additive_verbs,unique_position,0.5807291666666666,0.574585635359116,0.6080691642651297,211,226,136,362
google/gemini-3.1-flash-lite,1,additive_verbs,set,0.7261146496815286,0.6132596685082873,0.8184438040345822,284,153,63,362
google/gemini-3.1-flash-lite,1,all_verbs,unique_position,0.5714285714285714,0.5773480662983426,0.5677233429394812,197,207,150,362
google/gemini-3.1-flash-lite,1,all_verbs,set,0.7154255319148937,0.6160220994475138,0.7694524495677233,267,137,80,362
google/gemini-3.1-flash-lite,1,context_pos,unique_position,0.5877551020408164,0.585635359116022,0.5850144092219021,203,201,144,362
google/gemini-3.1-flash-lite,1,context_pos,set,0.7350199733688415,0.6298342541436464,0.792507204610951,275,129,72,362
google/gemini-3.1-flash-lite,1,additive_pos,unique_position,0.5922974767596282,0.5828729281767956,0.6080691642651297,211,211,136,362
google/gemini-3.1-flash-lite,1,additive_pos,set,0.7402597402597403,0.6270718232044199,0.8184438040345822,284,138,63,362
google/gemini-3.1-flash-lite,2,baseline,unique_position,0.6189189189189189,0.6104972375690608,0.6149425287356322,214,194,134,362
google/gemini-3.1-flash-lite,2,baseline,set,0.7645502645502645,0.6546961325966851,0.8304597701149425,289,119,59,362
google/gemini-3.1-flash-lite,2,additive_verbs,unique_position,0.5917312661498708,0.585635359116022,0.6149425287356322,214,228,134,362
google/gemini-3.1-flash-lite,2,additive_verbs,set,0.7332490518331226,0.6243093922651933,0.8304597701149425,289,153,59,362
google/gemini-3.1-flash-lite,2,all_verbs,unique_position,0.5837837837837838,0.5883977900552486,0.5747126436781609,200,208,148,362
google/gemini-3.1-flash-lite,2,all_verbs,set,0.726552179656539,0.6270718232044199,0.7844827586206896,273,135,75,362
google/gemini-3.1-flash-lite,2,context_pos,unique_position,0.6,0.5966850828729282,0.5919540229885057,206,202,142,362
google/gemini-3.1-flash-lite,2,context_pos,set,0.7433862433862434,0.638121546961326,0.8045977011494253,280,128,68,362
google/gemini-3.1-flash-lite,2,additive_pos,unique_position,0.604221635883905,0.5939226519337016,0.6149425287356322,214,212,134,362
google/gemini-3.1-flash-lite,2,additive_pos,set,0.7483870967741936,0.6353591160220995,0.8304597701149425,289,137,59,362
google/gemini-3.1-flash-lite,3,baseline,unique_position,0.6158038147138964,0.6077348066298343,0.6138328530259366,213,190,134,362
google/gemini-3.1-flash-lite,3,baseline,set,0.7653333333333333,0.6546961325966851,0.8270893371757925,287,116,60,362
google/gemini-3.1-flash-lite,3,additive_verbs,unique_position,0.58777633289987,0.5828729281767956,0.6138328530259366,213,225,134,362
google/gemini-3.1-flash-lite,3,additive_verbs,set,0.732824427480916,0.6215469613259669,0.8270893371757925,287,151,60,362
google/gemini-3.1-flash-lite,3,all_verbs,unique_position,0.5803814713896458,0.585635359116022,0.5734870317002881,199,204,148,362
google/gemini-3.1-flash-lite,3,all_verbs,set,0.7243675099866844,0.6243093922651933,0.7780979827089337,270,133,77,362
google/gemini-3.1-flash-lite,3,context_pos,unique_position,0.5967302452316077,0.5939226519337016,0.590778097982709,205,198,142,362
google/gemini-3.1-flash-lite,3,context_pos,set,0.744,0.638121546961326,0.8011527377521613,278,125,69,362
google/gemini-3.1-flash-lite,3,additive_pos,unique_position,0.601063829787234,0.5911602209944752,0.6138328530259366,213,208,134,362
google/gemini-3.1-flash-lite,3,additive_pos,set,0.7490247074122237,0.6353591160220995,0.8270893371757925,287,134,60,362
google/gemini-3.1-flash-lite,4,baseline,unique_position,0.6132971506105834,0.6104972375690608,0.6144927536231884,212,192,133,362
google/gemini-3.1-flash-lite,4,baseline,set,0.7556742323097463,0.6519337016574586,0.8202898550724638,283,121,62,362
google/gemini-3.1-flash-lite,4,additive_verbs,unique_position,0.5854922279792746,0.585635359116022,0.6144927536231884,212,227,133,362
google/gemini-3.1-flash-lite,4,additive_verbs,set,0.7219387755102041,0.6187845303867403,0.8202898550724638,283,156,62,362
google/gemini-3.1-flash-lite,4,all_verbs,unique_position,0.5760869565217391,0.585635359116022,0.5739130434782609,198,206,147,362
google/gemini-3.1-flash-lite,4,all_verbs,set,0.7129506008010681,0.6187845303867403,0.7710144927536232,266,138,79,362
google/gemini-3.1-flash-lite,4,context_pos,unique_position,0.592391304347826,0.5939226519337016,0.591304347826087,204,200,141,362
google/gemini-3.1-flash-lite,4,context_pos,set,0.732620320855615,0.6325966850828729,0.7942028985507247,274,130,71,362
google/gemini-3.1-flash-lite,4,additive_pos,unique_position,0.5994694960212201,0.5939226519337016,0.6144927536231884,212,209,133,362
google/gemini-3.1-flash-lite,4,additive_pos,set,0.7389033942558747,0.6325966850828729,0.8202898550724638,283,138,62,362
google/gemini-3.1-flash-lite,5,baseline,unique_position,0.6224627875507442,0.6160220994475138,0.6253602305475504,217,189,130,362
google/gemini-3.1-flash-lite,5,baseline,set,0.7675962815405046,0.6602209944751382,0.8328530259365994,289,117,58,362
google/gemini-3.1-flash-lite,5,additive_verbs,unique_position,0.5958549222797928,0.5911602209944752,0.6253602305475504,217,222,130,362
google/gemini-3.1-flash-lite,5,additive_verbs,set,0.7353689567430025,0.6270718232044199,0.8328530259365994,289,150,58,362
google/gemini-3.1-flash-lite,5,all_verbs,unique_position,0.5853658536585366,0.5911602209944752,0.5850144092219021,203,203,144,362
google/gemini-3.1-flash-lite,5,all_verbs,set,0.7250996015936255,0.6270718232044199,0.7838616714697406,272,134,75,362
google/gemini-3.1-flash-lite,5,context_pos,unique_position,0.6016260162601627,0.5994475138121547,0.6023054755043228,209,197,138,362
google/gemini-3.1-flash-lite,5,context_pos,set,0.7446808510638298,0.6408839779005525,0.8069164265129684,280,126,67,362
google/gemini-3.1-flash-lite,5,additive_pos,unique_position,0.6084656084656085,0.5994475138121547,0.6253602305475504,217,206,130,362
google/gemini-3.1-flash-lite,5,additive_pos,set,0.7506493506493507,0.6408839779005525,0.8328530259365994,289,134,58,362
google/gemini-3.5-flash,1,baseline,unique_position,0.5882352941176471,0.56353591160221,0.6049723756906077,219,233,143,362
google/gemini-3.5-flash,1,baseline,set,0.7272727272727273,0.6022099447513812,0.8176795580110497,296,156,66,362
google/gemini-3.5-flash,1,additive_verbs,unique_position,0.5601907032181168,0.5414364640883977,0.6049723756906077,219,273,143,362
google/gemini-3.5-flash,1,additive_verbs,set,0.6932084309133489,0.574585635359116,0.8176795580110497,296,196,66,362
google/gemini-3.5-flash,1,all_verbs,unique_position,0.5577889447236181,0.5414364640883977,0.569060773480663,206,246,156,362
google/gemini-3.5-flash,1,all_verbs,set,0.6921182266009852,0.574585635359116,0.7762430939226519,281,171,81,362
google/gemini-3.5-flash,1,context_pos,unique_position,0.5696361355081556,0.5469613259668509,0.5828729281767956,211,241,151,362
google/gemini-3.5-flash,1,context_pos,set,0.7093596059113301,0.5828729281767956,0.7955801104972375,288,164,74,362
google/gemini-3.5-flash,1,additive_pos,unique_position,0.5717761557177615,0.5469613259668509,0.6049723756906077,219,256,143,362
google/gemini-3.5-flash,1,additive_pos,set,0.7072879330943848,0.5828729281767956,0.8176795580110497,296,179,66,362
google/gemini-3.5-flash,2,baseline,unique_position,0.5947302383939774,0.5662983425414365,0.6121883656509696,221,230,140,362
google/gemini-3.5-flash,2,baseline,set,0.7339901477832512,0.6077348066298343,0.8254847645429363,298,153,63,362
google/gemini-3.5-flash,2,additive_verbs,unique_position,0.5656324582338902,0.5414364640883977,0.6121883656509696,221,271,140,362
google/gemini-3.5-flash,2,additive_verbs,set,0.6987104337631888,0.574585635359116,0.8254847645429363,298,194,63,362
google/gemini-3.5-flash,2,all_verbs,unique_position,0.5617128463476071,0.5414364640883977,0.5734072022160664,207,244,154,362
google/gemini-3.5-flash,2,all_verbs,set,0.6962962962962963,0.574585635359116,0.7811634349030471,282,169,79,362
google/gemini-3.5-flash,2,context_pos,unique_position,0.5761006289308176,0.5497237569060773,0.590027700831025,213,238,148,362
google/gemini-3.5-flash,2,context_pos,set,0.7160493827160493,0.5883977900552486,0.8033240997229917,290,161,71,362
google/gemini-3.5-flash,2,additive_pos,unique_position,0.5773447015834349,0.5497237569060773,0.6121883656509696,221,254,140,362
google/gemini-3.5-flash,2,additive_pos,set,0.7129186602870813,0.5883977900552486,0.8254847645429363,298,177,63,362
google/gemini-3.5-flash,3,baseline,unique_position,0.5889724310776943,0.569060773480663,0.6049723756906077,219,234,143,362
google/gemini-3.5-flash,3,baseline,set,0.7361963190184049,0.6104972375690608,0.8287292817679558,300,153,62,362
google/gemini-3.5-flash,3,additive_verbs,unique_position,0.558858501783591,0.5441988950276243,0.6049723756906077,219,277,143,362
google/gemini-3.5-flash,3,additive_verbs,set,0.6993006993006993,0.580110497237569,0.8287292817679558,300,196,62,362
google/gemini-3.5-flash,3,all_verbs,unique_position,0.5559748427672956,0.5441988950276243,0.5662983425414365,205,248,157,362
google/gemini-3.5-flash,3,all_verbs,set,0.6986469864698647,0.580110497237569,0.7845303867403315,284,169,78,362
google/gemini-3.5-flash,3,context_pos,unique_position,0.5703517587939698,0.5524861878453039,0.5828729281767956,211,242,151,362
google/gemini-3.5-flash,3,context_pos,set,0.7183271832718328,0.5911602209944752,0.8066298342541437,292,161,70,362
google/gemini-3.5-flash,3,additive_pos,unique_position,0.5703883495145631,0.5524861878453039,0.6049723756906077,219,260,143,362
google/gemini-3.5-flash,3,additive_pos,set,0.713436385255648,0.5911602209944752,0.8287292817679558,300,179,62,362
google/gemini-3.5-flash,4,baseline,unique_position,0.5867665418227216,0.56353591160221,0.6066481994459834,219,236,142,362
google/gemini-3.5-flash,4,baseline,set,0.7328431372549019,0.6077348066298343,0.8282548476454293,299,156,62,362
google/gemini-3.5-flash,4,additive_verbs,unique_position,0.556872037914692,0.5414364640883977,0.6066481994459834,219,279,142,362
google/gemini-3.5-flash,4,additive_verbs,set,0.6961583236321304,0.5773480662983426,0.8282548476454293,299,199,62,362
google/gemini-3.5-flash,4,all_verbs,unique_position,0.556390977443609,0.5414364640883977,0.5706371191135734,206,249,155,362
google/gemini-3.5-flash,4,all_verbs,set,0.6977886977886978,0.5773480662983426,0.7867036011080333,284,171,77,362
google/gemini-3.5-flash,4,context_pos,unique_position,0.5682102628285357,0.5469613259668509,0.5844875346260388,211,244,150,362
google/gemini-3.5-flash,4,context_pos,set,0.714987714987715,0.5883977900552486,0.8060941828254847,291,164,70,362
google/gemini-3.5-flash,4,additive_pos,unique_position,0.5690072639225182,0.5469613259668509,0.6066481994459834,219,261,142,362
google/gemini-3.5-flash,4,additive_pos,set,0.7110582639714625,0.5883977900552486,0.8282548476454293,299,181,62,362
